IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.17.198.167,4,3,0.25,72.11,13.29
104.19.232.3,4,4,0.00,222.16,13.08
104.20.15.215,4,3,0.25,177.95,13.06
104.20.80.134,4,4,0.00,184.98,12.97
104.20.2.249,4,3,0.25,178.87,12.93
104.27.67.24,4,3,0.25,179.93,12.93
104.24.137.103,4,3,0.25,177.44,12.77
104.27.85.158,4,4,0.00,183.16,12.75
104.20.146.33,4,4,0.00,184.11,11.89
172.66.130.114,4,4,0.00,183.85,11.75
