IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.19.113.91,4,1,0.75,184.88,13.46
104.19.168.203,4,1,0.75,162.07,13.44
104.19.38.204,4,4,0.00,183.37,13.41
104.17.162.75,4,2,0.50,100.40,13.33
198.41.204.249,4,2,0.50,200.14,13.32
104.19.219.40,4,1,0.75,174.59,12.92
104.20.88.235,4,1,0.75,178.53,12.77
104.20.68.247,4,1,0.75,175.65,12.70
