IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.17.205.85,4,4,0.00,70.96,13.57
172.64.146.103,4,4,0.00,60.71,13.56
162.159.60.227,4,4,0.00,60.02,13.55
104.16.9.69,4,4,0.00,63.80,13.39
172.64.153.23,4,4,0.00,58.46,12.93
104.16.5.8,4,4,0.00,57.79,12.67
190.93.246.89,4,4,0.00,61.32,12.18
104.18.149.17,4,4,0.00,62.77,12.08
104.18.170.42,4,4,0.00,73.51,0.00
104.18.160.140,4,4,0.00,78.73,0.00
